batting_team,bowling_team,venue,target_score,current_score,overs_left,wickets_left,winner
Rajasthan Royals,Kolkata Knight Riders,Narendra Modi Stadium,154,3,6.3,10,0
Delhi Capitals,Chennai Super Kings,Eden Gardens,154,112,2.5,9,1
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,166,66,1.1,0,0
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,176,136,4.0,5,1
Royal Challengers Bangalore,Kolkata Knight Riders,MA Chidambaram Stadium,128,53,10.5,2,0
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,134,113,5.5,2,1
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,179,151,0.8,7,0
Punjab Kings,Chennai Super Kings,Feroz Shah Kotla,132,103,6.7,9,1
Mumbai Indians,Kolkata Knight Riders,MA Chidambaram Stadium,164,156,5.6,2,1
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,161,41,0.2,10,0
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,211,195,16.0,4,1
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,160,116,5.5,4,1
Sunrisers Hyderabad,Rajasthan Royals,MA Chidambaram Stadium,144,33,12.6,9,1
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,170,106,18.5,4,1
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,153,40,2.5,10,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Wankhede Stadium,124,33,19.4,8,1
Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,170,6,13.6,8,0
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,156,46,7.3,2,0
Rajasthan Royals,Punjab Kings,Wankhede Stadium,127,47,4.2,6,0
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,218,145,17.2,5,1
Delhi Capitals,Punjab Kings,Eden Gardens,139,49,18.3,8,1
Rajasthan Royals,Mumbai Indians,Narendra Modi Stadium,165,99,17.3,1,0
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,178,113,2.3,4,0
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,174,86,7.1,4,0
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,152,15,17.0,0,0
Rajasthan Royals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,150,51,14.8,7,1
Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,122,77,15.8,10,1
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,200,12,12.5,2,0
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,154,9,16.7,8,0
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,148,31,4.0,7,0
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,167,67,9.2,10,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,177,89,11.4,0,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,168,70,16.3,7,1
Chennai Super Kings,Sunrisers Hyderabad,Narendra Modi Stadium,161,105,10.7,3,1
Kolkata Knight Riders,Punjab Kings,MA Chidambaram Stadium,143,39,1.6,1,0
Delhi Capitals,Punjab Kings,Feroz Shah Kotla,128,110,13.3,9,1
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,212,38,14.3,2,0
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,215,173,18.0,1,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Eden Gardens,156,9,3.9,3,0
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,126,28,18.5,9,1
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,151,11,5.4,2,0
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,197,59,8.6,9,0
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,154,34,10.5,8,0
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,163,158,11.9,0,1
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,175,174,16.4,0,1
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,158,67,13.6,10,1
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,174,109,16.4,2,1
Kolkata Knight Riders,Punjab Kings,Narendra Modi Stadium,160,90,16.3,4,1
Punjab Kings,Rajasthan Royals,Wankhede Stadium,151,130,4.8,10,1
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,139,110,6.4,4,1
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,153,68,14.2,0,0
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,134,2,16.5,2,0
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,124,34,17.5,10,1
Mumbai Indians,Sunrisers Hyderabad,M. Chinnaswamy Stadium,206,151,18.4,6,1
Rajasthan Royals,Chennai Super Kings,Eden Gardens,173,144,6.0,5,1
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,163,20,11.0,8,0
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,132,40,10.4,0,0
Kolkata Knight Riders,Punjab Kings,M. Chinnaswamy Stadium,125,13,2.8,1,0
Royal Challengers Bangalore,Mumbai Indians,Feroz Shah Kotla,199,82,19.6,7,1
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,198,194,12.7,1,1
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,121,4,1.7,5,0
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,212,149,6.4,6,1
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,168,72,0.3,8,0
Chennai Super Kings,Rajasthan Royals,Eden Gardens,195,69,18.4,8,1
Royal Challengers Bangalore,Mumbai Indians,MA Chidambaram Stadium,197,146,14.3,5,1
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,161,147,12.8,6,1
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,198,86,14.9,8,1
Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,185,110,9.7,9,1
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,134,62,4.2,6,0
Chennai Super Kings,Punjab Kings,Feroz Shah Kotla,196,75,1.6,1,0
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,208,183,16.5,2,1
Mumbai Indians,Chennai Super Kings,Eden Gardens,212,126,18.1,5,1
Royal Challengers Bangalore,Mumbai Indians,Feroz Shah Kotla,125,28,6.3,3,0
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,197,38,17.9,4,0
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,141,49,14.2,4,0
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,140,133,18.0,0,1
Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,130,37,4.2,10,0
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,215,44,15.5,1,0
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,217,161,2.1,2,0
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,182,70,5.8,7,0
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,175,60,6.6,0,0
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,195,61,3.8,7,0
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,171,26,11.7,10,0
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,165,149,9.4,9,1
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,163,157,0.4,2,0
Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,129,82,10.1,8,1
Punjab Kings,Mumbai Indians,MA Chidambaram Stadium,167,125,18.9,5,1
Sunrisers Hyderabad,Rajasthan Royals,Narendra Modi Stadium,209,154,18.3,0,1
Sunrisers Hyderabad,Delhi Capitals,Wankhede Stadium,182,117,15.1,4,1
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,165,104,10.0,10,1
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,121,1,0.2,8,0
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,170,111,8.0,7,1
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,173,116,6.2,0,0
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,161,140,10.7,10,1
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,121,106,17.3,5,1
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,127,11,10.7,3,0
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,210,86,3.2,9,0
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,162,134,12.0,8,1
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,153,89,5.7,2,0
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,170,64,16.5,6,1
Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla,162,140,17.3,4,1
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,160,31,4.1,2,0
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,178,99,19.4,6,1
Kolkata Knight Riders,Mumbai Indians,MA Chidambaram Stadium,134,41,2.3,0,0
Punjab Kings,Delhi Capitals,Wankhede Stadium,139,2,12.4,4,0
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,126,12,19.0,2,0
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,149,12,17.3,8,0
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,140,47,11.0,10,1
Delhi Capitals,Royal Challengers Bangalore,MA Chidambaram Stadium,157,53,9.6,2,0
Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,152,119,11.0,0,1
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,125,68,2.3,10,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,178,5,7.7,3,0
Kolkata Knight Riders,Royal Challengers Bangalore,MA Chidambaram Stadium,129,4,15.4,0,0
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,190,71,6.2,2,0
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,140,62,14.6,3,0
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,207,15,15.0,8,0
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,188,42,2.1,1,0
Mumbai Indians,Rajasthan Royals,Eden Gardens,144,87,2.1,10,0
Rajasthan Royals,Mumbai Indians,MA Chidambaram Stadium,195,172,18.5,4,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Wankhede Stadium,179,68,13.0,8,1
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,173,33,10.7,4,0
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,157,134,18.0,0,1
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,180,168,7.5,3,1
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,204,180,12.9,10,1
Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,137,67,0.4,10,0
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,207,78,19.5,2,0
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,121,66,0.3,1,0
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,171,4,16.7,1,0
Delhi Capitals,Rajasthan Royals,MA Chidambaram Stadium,205,200,10.3,6,1
Mumbai Indians,Sunrisers Hyderabad,MA Chidambaram Stadium,197,21,18.6,5,0
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,205,49,13.0,9,0
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,139,125,17.1,10,1
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,133,25,1.7,6,0
Chennai Super Kings,Delhi Capitals,Eden Gardens,155,121,11.4,4,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,191,100,3.5,4,0
Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,175,24,11.7,2,0
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,170,42,3.1,10,0
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,125,88,12.5,4,1
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,148,3,16.6,6,0
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,126,111,7.2,7,1
Rajasthan Royals,Punjab Kings,MA Chidambaram Stadium,136,68,1.9,0,0
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,193,178,16.7,8,1
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,198,134,11.1,10,1
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,206,186,15.3,1,1
Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,218,168,11.7,0,0
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,134,109,6.5,1,1
Rajasthan Royals,Punjab Kings,Wankhede Stadium,195,104,2.4,4,0
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,136,61,8.6,4,0
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,188,7,12.4,10,0
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,135,60,4.8,3,0
Royal Challengers Bangalore,Kolkata Knight Riders,Feroz Shah Kotla,205,23,2.6,3,0
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,196,124,10.3,5,1
Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,202,189,5.6,3,1
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,130,98,17.9,7,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Wankhede Stadium,120,119,13.4,6,1
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,138,87,17.5,7,1
Rajasthan Royals,Chennai Super Kings,MA Chidambaram Stadium,146,58,17.0,4,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,123,25,6.8,1,0
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,140,28,16.4,6,0
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,134,95,18.3,6,1
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,137,83,9.8,3,1
Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,137,99,12.0,8,1
Punjab Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,169,167,9.9,3,1
Mumbai Indians,Rajasthan Royals,Wankhede Stadium,139,69,6.8,6,0
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,151,8,10.6,0,0
Sunrisers Hyderabad,Punjab Kings,M. Chinnaswamy Stadium,194,163,1.2,8,0
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,142,34,13.3,8,0
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,184,94,7.8,8,1
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,198,41,15.2,2,0
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,162,14,5.3,4,0
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,156,87,12.9,3,1
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,144,49,10.9,9,1
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,212,144,18.6,6,1
Sunrisers Hyderabad,Punjab Kings,M. Chinnaswamy Stadium,125,49,5.1,5,0
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,134,34,2.4,10,0
Rajasthan Royals,Mumbai Indians,Eden Gardens,146,98,16.7,5,1
Mumbai Indians,Punjab Kings,Eden Gardens,196,33,18.2,5,0
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,156,45,18.6,6,0
Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,199,133,10.9,5,1
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,121,56,18.4,0,0
Delhi Capitals,Chennai Super Kings,Eden Gardens,190,5,19.5,10,0
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,122,100,17.4,4,1
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,164,116,4.9,1,0
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,153,130,1.6,2,0
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,144,127,7.1,2,1
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,160,92,9.0,5,1
Mumbai Indians,Rajasthan Royals,M. Chinnaswamy Stadium,126,43,12.9,0,0
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,169,51,19.6,4,0
Punjab Kings,Mumbai Indians,Feroz Shah Kotla,220,84,17.8,2,0
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,197,168,12.2,10,1
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,152,142,19.7,8,1
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,197,105,14.9,6,1
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,142,101,1.9,8,0
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,132,110,18.8,10,1
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,183,161,4.2,5,1
Mumbai Indians,Punjab Kings,Eden Gardens,155,57,14.7,6,1
Punjab Kings,Mumbai Indians,Wankhede Stadium,183,76,11.8,5,0
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,128,84,10.8,6,1
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,144,78,18.2,6,1
Mumbai Indians,Rajasthan Royals,Eden Gardens,213,141,15.2,10,1
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,157,140,13.0,3,1
Delhi Capitals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,158,12,14.2,6,0
Punjab Kings,Delhi Capitals,Eden Gardens,141,130,8.4,4,1
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,122,68,0.8,8,0
Delhi Capitals,Rajasthan Royals,Wankhede Stadium,184,83,14.7,3,0
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,188,102,8.5,6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,147,122,1.3,3,0
Chennai Super Kings,Rajasthan Royals,Eden Gardens,181,155,9.1,7,1
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,203,155,12.6,5,1
Rajasthan Royals,Punjab Kings,Wankhede Stadium,124,3,0.6,4,0
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,136,5,15.4,7,0
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,168,44,5.0,3,0
Mumbai Indians,Delhi Capitals,Eden Gardens,189,79,17.5,3,0
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,121,12,3.8,9,0
Chennai Super Kings,Mumbai Indians,Eden Gardens,216,9,6.7,6,0
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,128,86,0.6,3,0
Mumbai Indians,Rajasthan Royals,Feroz Shah Kotla,140,64,4.6,4,0
Chennai Super Kings,Royal Challengers Bangalore,MA Chidambaram Stadium,140,109,1.5,2,0
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,129,27,12.0,6,0
Sunrisers Hyderabad,Delhi Capitals,MA Chidambaram Stadium,150,123,1.3,1,0
Rajasthan Royals,Delhi Capitals,Eden Gardens,149,29,14.2,7,0
Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,209,20,9.3,7,0
Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,201,22,11.1,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,Narendra Modi Stadium,206,138,7.2,4,0
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,218,155,14.9,6,1
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,140,84,7.3,4,0
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,125,35,4.8,3,0
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,203,125,12.2,4,1
Punjab Kings,Sunrisers Hyderabad,Feroz Shah Kotla,212,159,9.5,3,1
Mumbai Indians,Delhi Capitals,Wankhede Stadium,147,45,15.7,4,0
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,164,13,2.4,1,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,164,113,9.7,3,1
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,125,123,10.0,1,1
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,140,97,17.9,3,1
Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla,208,8,8.8,9,0
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,133,13,12.7,8,0
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,130,78,17.7,3,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Narendra Modi Stadium,205,8,17.6,6,0
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,157,97,11.8,8,1
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,129,120,6.3,2,1
Punjab Kings,Delhi Capitals,Eden Gardens,167,14,14.7,6,0
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,177,39,18.3,10,1
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,162,108,9.6,7,1
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,163,154,7.1,7,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,161,91,12.7,0,0
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,194,105,11.6,6,1
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,212,74,2.8,3,0
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,147,145,7.6,9,1
Rajasthan Royals,Delhi Capitals,Eden Gardens,192,191,15.2,4,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,136,50,13.3,4,0
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,180,32,11.0,1,0
Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla,213,78,12.9,5,0
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,122,95,5.4,10,1
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,132,77,10.6,9,1
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,206,64,18.8,5,0
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,168,82,9.0,0,0
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,154,83,16.0,4,1
Sunrisers Hyderabad,Kolkata Knight Riders,Feroz Shah Kotla,195,20,5.2,5,0
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,172,53,13.9,9,1
Mumbai Indians,Punjab Kings,Wankhede Stadium,183,174,17.8,3,1
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,153,22,5.0,4,0
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,158,19,14.5,5,0
Chennai Super Kings,Kolkata Knight Riders,Feroz Shah Kotla,188,104,8.1,6,0
Rajasthan Royals,Delhi Capitals,Eden Gardens,175,175,4.1,0,1
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,212,107,10.3,9,1
Royal Challengers Bangalore,Mumbai Indians,MA Chidambaram Stadium,130,0,4.7,4,0
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,131,13,19.4,5,0
Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,172,120,2.0,2,0
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,186,168,7.7,6,1
Chennai Super Kings,Punjab Kings,Eden Gardens,125,32,8.5,8,0
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,128,57,2.0,6,0
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,194,182,5.6,8,1
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,207,181,4.7,10,1
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,150,121,15.7,4,1
Punjab Kings,Rajasthan Royals,Eden Gardens,204,54,5.9,5,0
Delhi Capitals,Punjab Kings,MA Chidambaram Stadium,149,47,18.9,8,1
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,133,20,16.9,1,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,168,86,3.0,8,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,197,62,9.9,0,0
Rajasthan Royals,Chennai Super Kings,Eden Gardens,146,75,8.4,10,1
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,163,23,3.7,2,0
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,120,107,3.7,3,1
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,156,81,12.0,9,1
Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,142,83,8.9,4,1
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,219,51,10.2,10,0
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,156,65,5.9,2,0
Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,174,131,11.9,3,1
Delhi Capitals,Mumbai Indians,Eden Gardens,158,4,5.5,2,0
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,188,144,5.5,5,1
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,213,106,10.9,3,0
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,180,48,4.1,8,0
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,214,177,17.7,1,1
Punjab Kings,Sunrisers Hyderabad,Narendra Modi Stadium,150,108,15.4,7,1
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,147,57,20.0,0,0
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,178,131,10.7,7,1
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,192,106,10.7,6,1
Punjab Kings,Delhi Capitals,Wankhede Stadium,171,135,15.4,6,1
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,207,201,0.4,0,0
Punjab Kings,Mumbai Indians,MA Chidambaram Stadium,161,42,15.8,7,0
Punjab Kings,Royal Challengers Bangalore,Feroz Shah Kotla,152,3,1.3,8,0
Kolkata Knight Riders,Sunrisers Hyderabad,MA Chidambaram Stadium,202,91,16.8,9,1
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,147,8,3.2,4,0
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,181,21,2.5,4,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,189,150,18.1,8,1
Punjab Kings,Royal Challengers Bangalore,Feroz Shah Kotla,180,34,17.6,6,0
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,191,18,4.9,1,0
Mumbai Indians,Rajasthan Royals,Feroz Shah Kotla,211,123,11.0,8,1
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,147,65,19.3,4,1
Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,165,46,8.7,3,0
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,220,30,17.0,9,0
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,124,112,6.1,2,1
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,202,127,8.7,8,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,154,38,4.8,9,0
